,word,pfgw,freq,OR,LOR
0,Framingham,1.0,4,1.0,0.0
1,clamping,0.0,1,1.0,0.0
2,crystallite,0.0,1,1.0,0.0
3,procedure,0.0,3,1.0,0.0
4,grades,0.0,1,1.0,0.0
5,Tetons,0.0,1,1.0,0.0
6,Karic,1.0,1,1.0,0.0
7,jalapenos,0.0,1,1.0,0.0
8,Chooklee,1.0,7,1.0,0.0
9,tooted,0.0,2,1.0,0.0
10,nodding,0.0,1,1.0,0.0
11,syllables,0.49557225370075014,8,0.9824444453626461,-0.0177114809975587
12,piper's,0.3294091423930535,3,0.4912220052208869,-0.7108591042501882
13,fan,0.30393235967678384,78,0.43663578267377545,-0.8286558806575782
14,planing,0.7466644211787811,4,2.9473361148706347,1.0809017504826017
15,Baby_Bear,1.0,1,1.0,0.0
16,squeak,0.467286764558165,159,0.8771783402310009,-0.13104495468237828
17,Nightmare,0.49557225370075014,2,0.9824444695419191,-0.017711456386220275
18,shop's,1.0,1,1.0,0.0
19,Simba,0.0,10,1.0,0.0
20,huff,0.49557225370075014,14,0.9824444211833063,-0.01771150560896565
21,Johnny's,0.662719240042694,3,1.9648898411650497,0.6754361832739757
22,jalopy,0.0,1,1.0,0.0
23,babysat,1.0,4,1.0,0.0
24,behaving,1.0,5,1.0,0.0
25,sweetiepie,0.708476686809782,66,2.4302882542884725,0.8880098734812664
26,Mooncake,0.0,3,1.0,0.0
27,wrinkles,0.3294091423930535,3,0.4912220052208869,-0.7108591042501882
28,Shana's,0.0,2,1.0,0.0
29,doopidoo,0.0,1,1.0,0.0
30,Marshall,1.0,1,1.0,0.0
31,major,0.24669382916125854,4,0.3274811837805428,-1.1163246796625936
32,Hulks,0.0,1,1.0,0.0
33,uppie,0.1312999355414614,15,0.1511445248274233,-1.889518781850245
34,sacrament,1.0,1,1.0,0.0
35,described,1.0,1,1.0,0.0
36,Shawna,0.0,1,1.0,0.0
37,athletic,1.0,1,1.0,0.0
38,principal,0.6962674717581423,10,2.2923746010408745,0.8295882239973856
39,pointed,0.39112289192916894,43,0.6423647518118166,-0.44259898738825976
40,ti,0.0,2,1.0,0.0
41,madje,0.0,1,1.0,0.0
42,batch,0.28211346481488353,7,0.39297723367244014,-0.9340035983775254
43,Goldy's,1.0,1,1.0,0.0
44,tailgating,1.0,1,1.0,0.0
45,psh_psh_psh,0.0,1,1.0,0.0
46,grinder,0.49557225370075014,4,0.9824444614821688,-0.017711464589992187
47,Sherrill's,1.0,1,1.0,0.0
